plot_index,plot_desc,plot_date,plot_lat,plot_long,plot_depth_1,plot_depth_2,plot_depth_3,plot_depth_4,plot_depth_mean,plot_desc,empty,notes,L_count,P_count,A_count,total_BCMs,plot_lat_decimal,plot_long_decimal,dist_to_crest_m,dist_to_channel_m,perc_coral_heads,general_substrate,padina_present,sarg_present,turb_present,hal_present,bcm_index,bcm_species,bcm_substrate,bcm_length
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,41,l,dc,4
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,42,l,dc,4
10,gump_fringing,10/30/19,17˚29’13.4”S,149˚49’33.8”W,60,60,65,60,61.25,shallow+ rocky (DC cemented),n,,2,0,0,2,-17.487056,-149.826056,,27,0,dc_cemented,0,0,0,0,0,,,
10,gump_fringing,10/30/19,17˚29’13.4”S,149˚49’33.8”W,60,60,65,60,61.25,shallow+ rocky (DC cemented),n,,2,0,0,2,-17.487056,-149.826056,,27,0,dc_cemented,0,0,0,0,1,l,dc,2
10,gump_fringing,10/30/19,17˚29’13.4”S,149˚49’33.8”W,60,60,65,60,61.25,shallow+ rocky (DC cemented),n,,2,0,0,2,-17.487056,-149.826056,,27,0,dc_cemented,0,0,0,0,2,l,dc,1
11,north_barrier,11/3/19,17˚29’0.7”S,149˚50’19.9”W,380,340,370,300,347.5,sandy+ otherwise barren,?,50% coverage of UK cyano,0,0,0,0,-17.483528,-149.838861,791,50,0,sand,0,0,0,0,0,,,
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,0,,,
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,1,a,lc,2
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,2,a,lc,3
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,3,a,turb,10
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,4,a,turb,6
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,5,a,pad,6
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,6,a,pad,8
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,7,a,pad,4
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,8,a,pad,6
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,9,a,pad,3
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,10,a,pad,3
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,11,a,pad,2
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,12,a,pad,1
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,13,a,pad,5
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,14,a,pad,6
12,north_barrier,11/3/19,17˚29’0.1”S,149˚50’30.0”W,120,135,120,130,126.25,50% DC structs rest sand,n,,0,3,22,25,-17.483361,-149.841667,694,226,50,sand,0,0,0,0,15,a,pad,4
